category_name,sort_order,milestone_name,description,typical_start_months,typical_end_months,flag_at_months,flag_severity,flag_message,source,source_url,slp_notes
Expressive Language,9,Three-word phrases,Uses three-word phrases regularly,24,36,36,watch,"Three-word phrases typically emerge between 24–36 months. If language is notably less complex than this by age 3, mention it to your pediatrician.",ASHA,https://www.asha.org/public/speech/development/communicative-milestones/,
Social Communication,1,Social smile,Smiles in response to familiar faces and voices,1,3,3,concern,"A social smile (smiling back at you) usually appears by 2 months. If your baby isn't smiling responsively by 3 months, it's worth bringing up at the next visit.",CDC,https://www.cdc.gov/ncbddd/actearly/milestones/index.html,Also an autism screening item
Social Communication,2,Eye contact,Makes and holds eye contact during interactions,0,3,4,concern,"Good eye contact is foundational for communication development. If your baby rarely makes eye contact by 3–4 months, mention it at the next checkup.",ASHA,https://www.asha.org/public/speech/development/communicative-milestones/,Key autism screening item — handle messaging carefully
Social Communication,3,Back-and-forth vocalization,"Takes 'turns' vocalizing — you talk, baby responds with sounds",3,6,7,watch,"Back-and-forth sound exchanges (the early version of conversation) should be emerging by 4–6 months. If your baby doesn't engage in vocal back-and-forth, note it for the 6-month visit.",ASHA,https://www.asha.org/public/speech/development/communicative-milestones/,
Social Communication,4,Joint attention — following a point,"Looks where you're pointing to see what you're showing them",9,12,14,concern,"Following a point to see what someone is showing you (called joint attention) is a critical early communication skill. If this isn't happening by 12–14 months, a developmental evaluation is recommended.",ASHA,https://www.asha.org/public/speech/development/communicative-milestones/,Major autism screening item — be careful with wording
Social Communication,5,Pointing to show interest,"Points at things to share them with you (not just to request)",10,14,16,concern,"Pointing to share interest ('look at that!') is one of the most important early social-communication skills. If this isn't happening by 14–16 months, a developmental evaluation is recommended.",ASHA,https://www.asha.org/public/speech/development/communicative-milestones/,M-CHAT item — autism screening relevance; avoid alarming language
Social Communication,6,Waves bye-bye spontaneously,Waves goodbye when someone is leaving,9,12,14,watch,"Spontaneous waving (not just when prompted every time) typically emerges by 12 months. If your child isn't waving yet, note it for the 12-month visit.",CDC,https://www.cdc.gov/ncbddd/actearly/milestones/index.html,
Social Communication,7,Imitates actions and sounds,"Copies simple actions and sounds you make",9,14,15,concern,"Imitating actions and sounds is how babies learn — it's also a key social-communication milestone. If imitation is absent by 15 months, mention it at the next visit.",ASHA,https://www.asha.org/public/speech/development/communicative-milestones/,
Social Communication,8,Engages in pretend play,"Uses objects symbolically in play (feeds doll, talks on toy phone)",18,24,30,watch,"Simple pretend play typically starts around 18–24 months. If play is still very concrete and repetitive by 30 months, it's worth discussing with your pediatrician.",ASHA,https://www.asha.org/public/speech/development/communicative-milestones/,
Speech Sounds,1,Variety of consonant sounds in babble,"Uses a range of consonant sounds (b m p d g k)",6,10,10,watch,"A variety of consonant sounds in babble should be emerging by 6–8 months. Limited consonant variety by 10 months is worth noting.",ASHA,https://www.asha.org/public/speech/development/communicative-milestones/,
Speech Sounds,2,Words mostly understood by familiar listeners,Primary caregivers understand most of what child says,18,24,24,watch,"Parents and familiar people should understand most of what a 2-year-old says. If speech is frequently unclear even to you, a speech evaluation is helpful.",ASHA,https://www.asha.org/public/speech/development/communicative-milestones/,
Speech Sounds,3,Words mostly understood by unfamiliar listeners,Strangers can understand most of what child says,30,36,36,concern,"By age 3, most of what a child says should be understandable to unfamiliar listeners. If speech is hard for others to understand, a speech-language evaluation is recommended.",ASHA,https://www.asha.org/public/speech/development/communicative-milestones/,
